guidance_scale,seed,num_inference_steps_correlation_like,num_items
4,8,-0.06070971980357342,3
4,10,-0.2186469970953684,3
8,7,-0.25471002834236584,3
8,9,0.2984789203895467,3
8,11,-0.2580546611323245,3
8,15,-0.12641085364454974,3
10,8,-0.1441690807158795,3
10,12,-0.16432307236530486,3
