guidance_scale,seed,num_inference_steps_correlation_time,num_items
4,8,0.009387112244352373,3
4,10,0.004677023001120505,3
8,7,0.024865981361551267,3
8,9,-0.03448795857155,3
8,11,-0.001711070089019243,3
8,15,0.003425217023792917,3
10,8,-0.02712636683709132,3
10,12,0.02013034626372949,3
